JDBC Connection [HikariProxyConnection@1345069688 wrapping org.postgresql.jdbc.PgConnection@21f7e537] will be managed by Spring
==>  Preparing: INSERT INTO staff ( name, age, gender, number, supply_center, mobile_number, type ) VALUES ( ?, ?, ?, ?, ?, ?, ? ) 
==> Parameters: Kong Yibo(String), 47(Long), Female(String), 11311024(String), America(String), 15038403217(String), Director(String)
Releasing transactional SqlSession [org.apache.ibatis.session.defaults.DefaultSqlSession@464400b3]
Fetched SqlSession [org.apache.ibatis.session.defaults.DefaultSqlSession@464400b3] from current transaction
==>  Preparing: select type from staff where staff.number = ? 
==> Parameters: 11710828(String)
<==    Columns: type
<==        Row: Supply Staff
<==      Total: 1
Releasing transactional SqlSession [org.apache.ibatis.session.defaults.DefaultSqlSession@464400b3]
Fetched SqlSession [org.apache.ibatis.session.defaults.DefaultSqlSession@464400b3] from current transaction
==>  Preparing: select supply_center from supply_center where name = ? 
==> Parameters: Eastern China(String)
<==    Columns: supply_center
<==        Row: ("Eastern China")
<==      Total: 1
Releasing transactional SqlSession [org.apache.ibatis.session.defaults.DefaultSqlSession@464400b3]
Fetched SqlSession [org.apache.ibatis.session.defaults.DefaultSqlSession@464400b3] from current transaction
==>  Preparing: select product from model where product = ? 
==> Parameters: Range Hood(String)
<==    Columns: product
<==        Row: Range Hood
<==        Row: Range Hood
<==        Row: Range Hood
<==        Row: Range Hood
<==        Row: Range Hood
<==      Total: 5
Releasing transactional SqlSession [org.apache.ibatis.session.defaults.DefaultSqlSession@464400b3]
Fetched SqlSession [org.apache.ibatis.session.defaults.DefaultSqlSession@464400b3] from current transaction
==>  Preparing: select number from staff where number = ? 
==> Parameters: 11710828(String)
<==    Columns: number
<==        Row: 11710828
<==      Total: 1
Releasing transactional SqlSession [org.apache.ibatis.session.defaults.DefaultSqlSession@464400b3]
Fetched SqlSession [org.apache.ibatis.session.defaults.DefaultSqlSession@464400b3] from current transaction
==>  Preparing: select supply_center from staff where staff.number = ? 
==> Parameters: 11710828(String)
<==    Columns: supply_center
<==        Row: Northern China
<==      Total: 1
Releasing transactional SqlSession [org.apache.ibatis.session.defaults.DefaultSqlSession@464400b3]
Fetched SqlSession [org.apache.ibatis.session.defaults.DefaultSqlSession@464400b3] from current transaction
==>  Preparing: select type from staff where staff.number = ? 
==> Parameters: 12110806(String)
<==    Columns: type
<==        Row: Supply Staff
<==      Total: 1
Releasing transactional SqlSession [org.apache.ibatis.session.defaults.DefaultSqlSession@464400b3]
Fetched SqlSession [org.apache.ibatis.session.defaults.DefaultSqlSession@464400b3] from current transaction
==>  Preparing: select supply_center from supply_center where name = ? 
==> Parameters: America(String)
<==    Columns: supply_center
<==        Row: (America)
<==      Total: 1
Releasing transactional SqlSession [org.apache.ibatis.session.defaults.DefaultSqlSession@464400b3]
Fetched SqlSession [org.apache.ibatis.session.defaults.DefaultSqlSession@464400b3] from current transaction
==>  Preparing: select product from model where product = ? 
==> Parameters: Electric Iron(String)
<==    Columns: product
<==        Row: Electric Iron
<==        Row: Electric Iron
<==        Row: Electric Iron
<==        Row: Electric Iron
<==      Total: 4
Releasing transactional SqlSession [org.apache.ibatis.session.defaults.DefaultSqlSession@464400b3]
Fetched SqlSession [org.apache.ibatis.session.defaults.DefaultSqlSession@464400b3] from current transaction
==>  Preparing: select number from staff where number = ? 
==> Parameters: 12110806(String)
<==    Columns: number
<==        Row: 12110806
<==      Total: 1
Releasing transactional SqlSession [org.apache.ibatis.session.defaults.DefaultSqlSession@464400b3]
Fetched SqlSession [org.apache.ibatis.session.defaults.DefaultSqlSession@464400b3] from current transaction
==>  Preparing: select supply_center from staff where staff.number = ? 
==> Parameters: 12110806(String)
<==    Columns: supply_center
<==        Row: America
<==      Total: 1
Releasing transactional SqlSession [org.apache.ibatis.session.defaults.DefaultSqlSession@464400b3]
Fetched SqlSession [org.apache.ibatis.session.defaults.DefaultSqlSession@464400b3] from current transaction
==>  Preparing: insert into stock_in_record(supply_center,product_model,supply_staff,date,purchase_price,quantity) values(?,?,?,?,?,?) 
==> Parameters: America(String), ElectricIron24(String), 12110806(String), 2008-11-20(Date), 952(Long), 131(Long)
<==    Updates: 1
Releasing transactional SqlSession [org.apache.ibatis.session.defaults.DefaultSqlSession@464400b3]
Fetched SqlSession [org.apache.ibatis.session.defaults.DefaultSqlSession@464400b3] from current transaction
==>  Preparing: select product_model from inventory where supply_center = ? and product_model = ? 
==> Parameters: America(String), ElectricIron24(String)
<==      Total: 0
Releasing transactional SqlSession [org.apache.ibatis.session.defaults.DefaultSqlSession@464400b3]
Fetched SqlSession [org.apache.ibatis.session.defaults.DefaultSqlSession@464400b3] from current transaction
==>  Preparing: insert into inventory(supply_center,product_model,importnum,exportnum,totalcost,totalinterest,stockInNum,placeOrderNum) values(?,?,?,?,?,?,?,?) 
==> Parameters: America(String), ElectricIron24(String), 131(Long), 0(Long), 124712(Long), 0(Long), 1(Long), 0(Long)
<==    Updates: 1
Releasing transactional SqlSession [org.apache.ibatis.session.defaults.DefaultSqlSession@464400b3]
Fetched SqlSession [org.apache.ibatis.session.defaults.DefaultSqlSession@464400b3] from current transaction
==>  Preparing: select type from staff where staff.number = ? 
==> Parameters: 11612422(String)
<==    Columns: type
<==        Row: Supply Staff
<==      Total: 1
Releasing transactional SqlSession [org.apache.ibatis.session.defaults.DefaultSqlSession@464400b3]
Fetched SqlSession [org.apache.ibatis.session.defaults.DefaultSqlSession@464400b3] from current transaction
==>  Preparing: select supply_center from supply_center where name = ? 
==> Parameters: Southern China(String)
<==    Columns: supply_center
<==        Row: ("Southern China")
<==      Total: 1
Releasing transactional SqlSession [org.apache.ibatis.session.defaults.DefaultSqlSession@464400b3]
Fetched SqlSession [org.apache.ibatis.session.defaults.DefaultSqlSession@464400b3] from current transaction
==>  Preparing: select product from model where product = ? 
==> Parameters: Server Barebones(String)
<==    Columns: product
<==        Row: Server Barebones
<==        Row: Server Barebones
<==        Row: Server Barebones
<==        Row: Server Barebones
<==      Total: 4
Releasing transactional SqlSession [org.apache.ibatis.session.defaults.DefaultSqlSession@464400b3]
Fetched SqlSession [org.apache.ibatis.session.defaults.DefaultSqlSession@464400b3] from current transaction
==>  Preparing: select number from staff where number = ? 
==> Parameters: 11612422(String)
<==    Columns: number
<==        Row: 11612422
<==      Total: 1
Releasing transactional SqlSession [org.apache.ibatis.session.defaults.DefaultSqlSession@464400b3]
Fetched SqlSession [org.apache.ibatis.session.defaults.DefaultSqlSession@464400b3] from current transaction
==>  Preparing: select supply_center from staff where staff.number = ? 
==> Parameters: 11612422(String)
<==    Columns: supply_center
<==        Row: Southern China
<==      Total: 1
Releasing transactional SqlSession [org.apache.ibatis.session.defaults.DefaultSqlSession@464400b3]
Fetched SqlSession [org.apache.ibatis.session.defaults.DefaultSqlSession@464400b3] from current transaction
==>  Preparing: insert into stock_in_record(supply_center,product_model,supply_staff,date,purchase_price,quantity) values(?,?,?,?,?,?) 
==> Parameters: Southern China(String), ServerBarebones96(String), 11612422(String), 2008-04-02(Date), 810(Long), 357(Long)
<==    Updates: 1
Releasing transactional SqlSession [org.apache.ibatis.session.defaults.DefaultSqlSession@464400b3]
Fetched SqlSession [org.apache.ibatis.session.defaults.DefaultSqlSession@464400b3] from current transaction
==>  Preparing: select product_model from inventory where supply_center = ? and product_model = ? 
==> Parameters: Southern China(String), ServerBarebones96(String)
<==      Total: 0
Releasing transactional SqlSession [org.apache.ibatis.session.defaults.DefaultSqlSession@464400b3]
Fetched SqlSession [org.apache.ibatis.session.defaults.DefaultSqlSession@464400b3] from current transaction
==>  Preparing: insert into inventory(supply_center,product_model,importnum,exportnum,totalcost,totalinterest,stockInNum,placeOrderNum) values(?,?,?,?,?,?,?,?) 
==> Parameters: Southern China(String), ServerBarebones96(String), 357(Long), 0(Long), 289170(Long), 0(Long), 1(Long), 0(Long)
<==    Updates: 1
Releasing transactional SqlSession [org.apache.ibatis.session.defaults.DefaultSqlSession@464400b3]
Fetched SqlSession [org.apache.ibatis.session.defaults.DefaultSqlSession@464400b3] from current transaction
==>  Preparing: select type from staff where staff.number = ? 
==> Parameters: 11810110(String)
<==    Columns: type
<==        Row: Supply Staff
<==      Total: 1
Releasing transactional SqlSession [org.apache.ibatis.session.defaults.DefaultSqlSession@464400b3]
Fetched SqlSession [org.apache.ibatis.session.defaults.DefaultSqlSession@464400b3] from current transaction
==>  Preparing: select supply_center from supply_center where name = ? 
==> Parameters: Northern China(String)
<==    Columns: supply_center
<==        Row: ("Northern China")
<==      Total: 1
Releasing transactional SqlSession [org.apache.ibatis.session.defaults.DefaultSqlSession@464400b3]
Fetched SqlSession [org.apache.ibatis.session.defaults.DefaultSqlSession@464400b3] from current transaction
==>  Preparing: select product from model where product = ? 
==> Parameters: Anti-Slip Mobile Phone(String)
<==    Columns: product
<==        Row: Anti-Slip Mobile Phone
<==        Row: Anti-Slip Mobile Phone
<==        Row: Anti-Slip Mobile Phone
<==        Row: Anti-Slip Mobile Phone
<==        Row: Anti-Slip Mobile Phone
<==      Total: 5
Releasing transactional SqlSession [org.apache.ibatis.session.defaults.DefaultSqlSession@464400b3]
Fetched SqlSession [org.apache.ibatis.session.defaults.DefaultSqlSession@464400b3] from current transaction
==>  Preparing: select number from staff where number = ? 
==> Parameters: 11810110(String)
<==    Columns: number
<==        Row: 11810110
<==      Total: 1
Releasing transactional SqlSession [org.apache.ibatis.session.defaults.DefaultSqlSession@464400b3]
Fetched SqlSession [org.apache.ibatis.session.defaults.DefaultSqlSession@464400b3] from current transaction
==>  Preparing: select supply_center from staff where staff.number = ? 
==> Parameters: 11810110(String)
<==    Columns: supply_center
<==        Row: Northern China
<==      Total: 1
Releasing transactional SqlSession [org.apache.ibatis.session.defaults.DefaultSqlSession@464400b3]
Fetched SqlSession [org.apache.ibatis.session.defaults.DefaultSqlSession@464400b3] from current transaction
==>  Preparing: insert into stock_in_record(supply_center,product_model,supply_staff,date,purchase_price,quantity) values(?,?,?,?,?,?) 
==> Parameters: Northern China(String), Anti-SlipMobilePhoneP4(String), 11810110(String), 2008-04-17(Date), 512(Long), 234(Long)
<==    Updates: 1
Releasing transactional SqlSession [org.apache.ibatis.session.defaults.DefaultSqlSession@464400b3]
Fetched SqlSession [org.apache.ibatis.session.defaults.DefaultSqlSession@464400b3] from current transaction
==>  Preparing: select product_model from inventory where supply_center = ? and product_model = ? 
==> Parameters: Northern China(String), Anti-SlipMobilePhoneP4(String)
<==      Total: 0
Releasing transactional SqlSession [org.apache.ibatis.session.defaults.DefaultSqlSession@464400b3]
Fetched SqlSession [org.apache.ibatis.session.defaults.DefaultSqlSession@464400b3] from current transaction
==>  Preparing: insert into inventory(supply_center,product_model,importnum,exportnum,totalcost,totalinterest,stockInNum,placeOrderNum) values(?,?,?,?,?,?,?,?) 
==> Parameters: Northern China(String), Anti-SlipMobilePhoneP4(String), 234(Long), 0(Long), 119808(Long), 0(Long), 1(Long), 0(Long)
<==    Updates: 1
Releasing transactional SqlSession [org.apache.ibatis.session.defaults.DefaultSqlSession@464400b3]
Fetched SqlSession [org.apache.ibatis.session.defaults.DefaultSqlSession@464400b3] from current transaction
==>  Preparing: select type from staff where staff.number = ? 
==> Parameters: 11810110(String)
<==    Columns: type
<==        Row: Supply Staff
<==      Total: 1
Releasing transactional SqlSession [org.apache.ibatis.session.defaults.DefaultSqlSession@464400b3]
Fetched SqlSession [org.apache.ibatis.session.defaults.DefaultSqlSession@464400b3] from current transaction
==>  Preparing: select supply_center from supply_center where name = ? 
==> Parameters: Eastern China(String)
<==    Columns: supply_center
<==        Row: ("Eastern China")
<==      Total: 1
Releasing transactional SqlSession [org.apache.ibatis.session.defaults.DefaultSqlSession@464400b3]
Fetched SqlSession [org.apache.ibatis.session.defaults.DefaultSqlSession@464400b3] from current transaction
==>  Preparing: select product from model where product = ? 
==> Parameters: Monitor(String)
<==    Columns: product
<==        Row: Monitor
<==        Row: Monitor
<==        Row: Monitor
<==        Row: Monitor
